20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
20.7268 	EXP 	visual_stimulus: height = np.float64(0.03)
20.7268 	EXP 	visual_stimulus: text = 'A metal tongue for guitars\n\nPICK'
21.2002 	EXP 	Sound audio_stim reached end of file
21.2161 	EXP 	Playing sound audio_stim on speaker Speakers (Realtek(R) Audio)
21.2094 	INFO 	Keyboard events cleared
21.2094 	EXP 	visual_stimulus: autoDraw = True
21.2094 	EXP 	auditory_icon: autoDraw = True
26.2130 	EXP 	Sound audio_stim stopped
26.2135 	EXP 	New trial (rep=0, index=4): <Trial 4 (4 in rep 0) data={'definition': 'A glass slipper for drinks', 'word': 'CUP', 'block': np.int64(1), 'modality': 'visual', 'thisN': 4, 'thisTrialN': 4, 'thisRepN': 0}>
26.2251 	EXP 	visual_stimulus: autoDraw = False
26.2251 	EXP 	auditory_icon: autoDraw = False
26.2251 	EXP 	visual_stimulus: autoDraw = False
26.2251 	EXP 	auditory_icon: autoDraw = False
26.2251 	EXP 	break_text: autoDraw = False
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: height = np.float64(0.03)
26.2251 	EXP 	visual_stimulus: text = 'A glass slipper for drinks\n\nCUP'
26.6995 	EXP 	Sound audio_stim reached end of file
26.7155 	EXP 	Playing sound audio_stim on speaker Speakers (Realtek(R) Audio)
26.7091 	INFO 	Keyboard events cleared
26.7089 	EXP 	visual_stimulus: autoDraw = True
26.7089 	EXP 	auditory_icon: autoDraw = True
31.7115 	EXP 	Sound audio_stim stopped
31.7120 	EXP 	New trial (rep=0, index=5): <Trial 5 (5 in rep 0) data={'definition': 'A glass drum', 'word': 'BOWL', 'block': np.int64(1), 'modality': 'visual', 'thisN': 5, 'thisTrialN': 5, 'thisRepN': 0}>
31.7246 	EXP 	visual_stimulus: autoDraw = False
31.7246 	EXP 	auditory_icon: autoDraw = False
31.7246 	EXP 	visual_stimulus: autoDraw = False
